cleaned_time,tract_id,cloud_cover,visibility,relative_humidity_2m,precipitation,wind_speed_180m,wind_direction_180m,temperature_180m,surface_pressure
2025-07-09,17031010100,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.21249999999999,994.1166666666667
2025-07-09,17031010201,28.958333333333332,48966.535125,87.875,0.0,9.620833333333334,161.33333333333334,69.0625,993.7708333333334
2025-07-09,17031010202,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.2291666666666
2025-07-09,17031010300,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.21249999999999,994.1166666666667
2025-07-09,17031010400,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.36666666666666,995.3541666666666
2025-07-09,17031010501,28.958333333333332,48857.17420833334,87.91666666666667,0.0,9.054166666666667,157.58333333333334,70.21249999999999,994.0041666666666
2025-07-09,17031010502,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.2291666666666
2025-07-09,17031010503,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.25,994.1958333333333
2025-07-09,17031010600,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.35
2025-07-09,17031010701,28.958333333333332,48966.535125,87.875,0.0,9.620833333333334,161.33333333333334,69.04583333333333,993.5375
2025-07-09,17031010702,28.958333333333332,48857.17420833334,87.91666666666667,0.0,9.054166666666667,157.58333333333334,70.21249999999999,994.0041666666666
2025-07-09,17031020100,28.958333333333332,48966.535125,87.875,0.0,9.620833333333334,161.33333333333334,69.03333333333333,993.4291666666667
2025-07-09,17031020200,28.958333333333332,48966.535125,87.875,0.0,9.054166666666667,157.58333333333334,70.21249999999999,994.1166666666667
2025-07-09,17031020301,28.958333333333332,48966.535125,87.875,0.0,9.054166666666667,157.58333333333334,70.25,994.2375000000001
2025-07-09,17031020302,28.958333333333332,48966.535125,87.875,0.0,9.054166666666667,157.58333333333334,70.25,994.2375000000001
2025-07-09,17031020400,28.958333333333332,48966.535125,87.875,0.0,9.620833333333334,161.33333333333334,69.04583333333333,993.5375
2025-07-09,17031020500,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.26666666666667,994.4375
2025-07-09,17031020601,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.2291666666666
2025-07-09,17031020602,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.2291666666666
2025-07-09,17031020701,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.2291666666666
2025-07-09,17031020702,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.26666666666667,994.4708333333333
2025-07-09,17031020801,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.35
2025-07-09,17031020802,29.333333333333332,48296.697374999996,87.66666666666667,0.0,9.054166666666667,157.58333333333334,70.25,994.2291666666666
2025-07-09,17031020901,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.25,994.1958333333333
2025-07-09,17031020902,35.041666666666664,46751.96845833334,89.625,0.0,9.620833333333334,161.33333333333334,69.04583333333333,993.6208333333334
2025-07-09,17031030101,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.21249999999999,993.9666666666667
2025-07-09,17031030102,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.26666666666667,994.4375
2025-07-09,17031030103,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.26666666666667,994.4375
2025-07-09,17031030104,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.29166666666667,994.5458333333332
2025-07-09,17031030200,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.25,994.1958333333333
2025-07-09,17031030300,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.20416666666667,993.8625000000001
2025-07-09,17031030400,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.25,994.1958333333333
2025-07-09,17031030500,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.21249999999999,994.0791666666668
2025-07-09,17031030601,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.29166666666667,994.5458333333332
2025-07-09,17031030603,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.29166666666667,994.5458333333332
2025-07-09,17031030604,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.36666666666666,995.3541666666666
2025-07-09,17031030701,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.26666666666667,994.4375
2025-07-09,17031030702,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.29166666666667,994.5458333333332
2025-07-09,17031030703,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.25,994.1958333333333
2025-07-09,17031030706,35.041666666666664,46751.96845833334,89.625,0.0,9.054166666666667,157.58333333333334,70.29166666666667,994.6625
